expected_program,synthesized_program,correct,operation_type,arity,composition_depth,s_k,s_t,s_e,distance,total_time_ms
first,min,False,access,1,1,0.04,0.1,0.18,0.12369316876852982,0.0
last,max,False,access,1,1,0.03,0.1,0.18,0.14317821063276354,0.9913444519042969
second,second,True,access,1,1,0.18,0.1,0.15,0.0,0.0
sum,sum,True,aggregation,1,1,0.01,0.1,0.15,0.0,0.0
product,product,True,aggregation,1,1,0.02,0.1,0.2,0.0,0.9965896606445312
max,max,True,aggregation,1,1,0.03,0.1,0.18,0.0,0.0
min,min,True,aggregation,1,1,0.04,0.1,0.18,0.0,0.0
mean,mean,True,aggregation,1,1,0.05,0.15,0.25,0.0,0.9970664978027344
length,length,True,aggregation,1,1,0.06,0.1,0.1,0.0,0.0
range,range,True,aggregation,1,1,0.1,0.25,0.35,0.0,0.0
add,add,True,arithmetic,2,1,0.51,0.1,0.15,0.0,0.0
subtract,subtract,True,arithmetic,2,1,0.52,0.1,0.15,0.0,0.0
multiply,multiply,True,arithmetic,2,1,0.53,0.1,0.15,0.0,0.0
divide,divide,True,arithmetic,2,1,0.54,0.1,0.2,0.0,0.0
sum_of_squares,sum_of_squares,True,composition,1,2,0.71,0.35,0.45,0.0,0.0
sum_of_doubled,sum_of_doubled,True,composition,1,2,0.72,0.35,0.4,0.0,0.0
sum_positive,sum_positive,True,composition,1,2,0.73,0.35,0.45,0.0,1.0120868682861328
sum_even,sum_even,True,composition,1,2,0.74,0.35,0.45,0.0,0.0
max_of_two,max_of_two,True,conditional,2,1,0.61,0.15,0.25,0.0,0.0
min_of_two,min_of_two,True,conditional,2,1,0.62,0.15,0.25,0.0,1.0118484497070312
abs_single,abs_single,True,conditional,1,1,0.63,0.15,0.2,0.0,0.0
sign,sign,True,conditional,1,1,0.64,0.2,0.3,0.0,0.0
factorial,factorial,True,recursive,1,3,0.86,0.6,0.7,0.0,0.0
fibonacci,fibonacci,True,recursive,1,4,0.87,0.65,0.75,0.0,0.0
sum_recursive,sum,False,recursive,1,3,0.01,0.1,0.15,1.1442901729893515,0.0
double_all,double_all,True,transformation,1,1,0.31,0.2,0.3,0.0,0.0
square_all,square_all,True,transformation,1,1,0.32,0.2,0.3,0.0,0.0
negate_all,negate_all,True,transformation,1,1,0.33,0.2,0.3,0.0,0.0
filter_positive,filter_positive,True,transformation,1,1,0.36,0.25,0.35,0.0,0.0
filter_even,filter_even,True,transformation,1,1,0.38,0.25,0.35,0.0,0.0
reverse,reverse,True,transformation,1,1,0.4,0.15,0.2,0.0,0.0
sort_asc,sort_asc,True,transformation,1,1,0.41,0.2,0.25,0.0,1.0089874267578125
